Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
3.671780792,1.715847254,-11.68609428,8.3583498,14.46965593
3.681769792,1.817184806,-12.94297218,9.386701584,16.09139075
3.691759792,2.055132151,-14.16882515,10.13692284,17.54241656
3.701748792,2.489210129,-15.51543713,10.59159756,18.95011597
3.711737792,2.930402994,-16.57486153,10.87064171,20.03706933
3.721726792,3.215674639,-17.28663635,11.13548851,20.81267556
3.731715792,3.381510496,-17.65751839,11.48273087,21.33250283
3.741704792,3.663619995,-17.69511795,11.70837975,21.53196384
3.751693792,3.969777346,-17.76015663,11.5222826,21.53938932
3.761682792,4.097334385,-17.48702812,11.05644798,21.09097778
3.771671792,3.983417511,-16.4671936,10.56267262,19.96512292
3.781660792,3.575536251,-14.73198509,9.923506737,18.1188253
3.791649792,2.827060223,-13.25436115,8.821120262,16.1704212
3.801638792,2.144443035,-10.24602509,7.093158245,12.64486298
3.811627792,1.193882942,-6.453270435,5.198815346,8.372439118
3.821616792,0.014186209,-3.038384438,3.242958307,4.443957675
3.831605792,-0.922127724,-0.281328082,1.552808642,1.827752639
3.841594792,-1.306167006,1.812257171,0.120792106,2.237172107
3.851583792,-1.454755783,2.808152914,-0.991161525,3.314277952
3.861572792,-1.505164623,2.958646536,-1.68275547,3.721663048
3.871561792,-1.510564685,2.761280775,-2.187262297,3.832831009
3.881550792,-1.548349619,2.630182505,-2.774337053,4.124583935
3.891540792,-1.62008822,2.997435331,-3.507022381,4.88963295
3.901529792,-1.695222855,3.725812674,-4.315102577,5.947736616
3.911518792,-1.743948579,4.388828278,-5.106454372,6.955504766
3.921507792,-1.748725533,5.105212688,-5.660676479,7.82077335
3.931496792,-1.689369082,6.046393871,-5.966114521,8.66067949
3.941485792,-1.627924919,6.898575306,-6.17774868,9.402396479
3.951474792,-1.596079588,7.438608646,-6.37691927,9.927007002
3.961463792,-1.595813036,7.337520599,-6.497604847,9.929989755
3.971452792,-1.460110664,5.430499077,-6.464592457,8.568150268
3.981441792,-1.251411796,1.375834107,-5.949171066,6.23310415
3.991430792,-0.963911712,-3.700463533,-4.51228857,5.91466857
4.001419792,-0.2632595,-7.627215385,-2.26947999,7.962051213
4.011408792,0.769098878,-9.768895149,-0.283007979,9.803209629
4.021397792,1.807790279,-10.63042355,0.954392314,10.82519631
4.031386792,3.076258898,-9.865777016,1.826748013,10.49447156
4.041375792,4.106456757,-8.389834404,2.05809021,9.56493825
4.051364792,4.716846466,-6.189898014,1.599763393,7.944980864
4.061353792,5.061635017,-3.515453815,0.844851971,6.220316666
4.071343792,5.180155754,-1.211556315,-0.040801156,5.320107807
4.081332792,5.155321598,0.400406688,-0.977889895,5.262502726
4.091321792,4.98357439,1.569448352,-1.960424781,5.580541833
4.101310792,4.697036743,2.349593163,-2.886846781,5.993048184
4.111299792,4.229005337,2.819675684,-3.540331841,6.194272083
4.121288792,3.565473795,3.10551548,-3.850128889,6.097566912
4.131277792,2.736492634,3.301273108,-3.950957298,5.830682605
4.141266792,1.828746438,3.48682332,-4.003926277,5.615485378
4.151255792,0.945689619,3.698694468,-4.000297546,5.529651895
4.161244792,0.168096751,3.662117958,-3.901567936,5.353652661
4.171233792,-0.531878352,3.671857834,-3.790415287,5.30402513
4.181222792,-1.02837491,3.884035349,-3.775591135,5.513472043
4.191211792,-1.076189041,4.247364521,-3.85053134,5.833084932
4.201200792,-0.667622149,4.441912174,-3.85031414,5.916183067
4.211189792,0.117183462,4.355036736,-3.69335413,5.711474561
4.221178792,1.017278671,4.121426105,-3.505657196,5.505510096
4.231167792,1.732311845,3.775015593,-3.456868887,5.403849512
4.241156792,2.289793015,3.668578863,-3.51451087,5.572558621
4.251146792,2.647747993,3.430168152,-3.61360693,5.642231653
4.261135792,2.842144728,3.374022484,-3.643811464,5.721815827
4.271124792,2.944785118,3.643174887,-3.591207504,5.902648049
4.281113792,3.119007111,3.743891954,-3.460506201,5.976624088
4.291102792,3.239334106,3.960107088,-3.262703419,6.06802828
4.301091792,3.320018291,4.114659786,-3.14511013,6.151801715
4.311080792,3.433011055,4.043849945,-3.096947908,6.142424084
4.321069792,3.498579502,3.605132341,-3.185993195,5.948746958
4.331058792,3.597132206,3.197710514,-3.108827114,5.729704937
4.341047792,3.686354876,2.861645222,-2.807641745,5.446198473
4.351036792,3.576427221,2.710715294,-2.588048458,5.180425069
4.361025792,3.283179522,2.572272062,-2.563514233,4.895656907
4.371014792,2.890482664,2.251361132,-2.773542881,4.595221114
4.381003792,2.432920456,2.01147294,-3.274106026,4.548065039
4.390992792,1.95445931,2.04288125,-4.029215813,4.922179909
4.400981792,1.447481871,2.088797808,-4.798923969,5.430280961
